circ_idx,seq,A,G,d,B,P,M,P_enc,G_enc,d_enc,M_enc,P_native_gate_count,G_native_gate_count,d_native_gate_count,M_native_gate_count,full_native_gate_count,remaining_native_gate_count,remaining_wait_num_4-pihalf,remaining_wait_num_pihalf,full_sequence_length
1,{}@(0)  859  165,{},,,,{},,4,-1,0,-1,4,0,0,0,4,32769,8192,1,8194
2,Gxpi2:0@(0)  553  471,Gxpi2:0,,,,Gxpi2:0,,5,-1,0,-1,1,0,0,0,1,32772,8193,0,8194
3,Gypi2:0@(0)  572  452,Gypi2:0,,,,Gypi2:0,,6,-1,0,-1,1,0,0,0,1,32772,8193,0,8194
4,Gxpi2:0Gxpi2:0@(0)  274  750,Gxpi2:0Gxpi2:0,,,,Gxpi2:0Gxpi2:0,,7,-1,0,-1,2,0,0,0,2,32771,8192,3,8196
5,Gxpi2:0Gxpi2:0Gxpi2:0@(0)  532  492,Gxpi2:0Gxpi2:0Gxpi2:0,,,,Gxpi2:0Gxpi2:0Gxpi2:0,,9,-1,0,-1,3,0,0,0,3,32770,8192,2,8195
6,Gypi2:0Gypi2:0Gypi2:0@(0)  560  464,Gypi2:0Gypi2:0Gypi2:0,,,,Gypi2:0Gypi2:0Gypi2:0,,10,-1,0,-1,3,0,0,0,3,32770,8192,2,8195
7,Gxpi2:0Gypi2:0@(0)  549  475,Gxpi2:0Gypi2:0,,,,Gxpi2:0,Gypi2:0,5,-1,0,6,1,0,0,1,2,32771,8192,3,8197
8,Gxpi2:0Gxpi2:0Gxpi2:0Gxpi2:0@(0)  853  171,Gxpi2:0Gxpi2:0Gxpi2:0Gxpi2:0,,,,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,9,-1,0,5,3,0,0,1,4,32769,8192,1,8195
9,Gxpi2:0Gypi2:0Gypi2:0Gypi2:0@(0)  549  475,Gxpi2:0Gypi2:0Gypi2:0Gypi2:0,,,,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,5,-1,0,10,1,0,0,3,4,32769,8192,1,8195
10,Gypi2:0Gxpi2:0@(0)  548  476,Gypi2:0Gxpi2:0,,,,Gypi2:0,Gxpi2:0,6,-1,0,5,1,0,0,1,2,32771,8192,3,8197
11,Gypi2:0Gypi2:0@(0)  265  759,Gypi2:0Gypi2:0,,,,Gypi2:0,Gypi2:0,6,-1,0,6,1,0,0,1,2,32771,8192,3,8197
12,Gypi2:0Gxpi2:0Gxpi2:0@(0)  555  469,Gypi2:0Gxpi2:0Gxpi2:0,,,,Gypi2:0,Gxpi2:0Gxpi2:0,6,-1,0,7,1,0,0,2,3,32770,8192,2,8196
