seq,A,G,d,B,P,M,P_enc,G_enc,d_enc,M_enc,P_enc_seq,G_enc_seq,d_enc_seq,M_enc_seq
{}@(0)  859  165,{},,,,{},,1,-1,0,-1,1,-1,0,-1
Gxpi2:0@(0)  553  471,Gxpi2:0,,,,Gxpi2:0,,2,-1,0,-1,2,-1,0,-1
Gypi2:0@(0)  572  452,Gypi2:0,,,,Gypi2:0,,3,-1,0,-1,3,-1,0,-1
Gxpi2:0Gxpi2:0@(0)  274  750,Gxpi2:0Gxpi2:0,,,,Gxpi2:0Gxpi2:0,,4,-1,0,-1,4,-1,0,-1
Gxpi2:0Gxpi2:0Gxpi2:0@(0)  532  492,Gxpi2:0Gxpi2:0Gxpi2:0,,,,Gxpi2:0Gxpi2:0Gxpi2:0,,5,-1,0,-1,5,-1,0,-1
Gypi2:0Gypi2:0Gypi2:0@(0)  560  464,Gypi2:0Gypi2:0Gypi2:0,,,,Gypi2:0Gypi2:0Gypi2:0,,6,-1,0,-1,6,-1,0,-1
Gxpi2:0Gypi2:0@(0)  549  475,Gxpi2:0Gypi2:0,,,,Gxpi2:0,Gypi2:0,2,-1,0,3,2,-1,0,13
Gxpi2:0Gxpi2:0Gxpi2:0Gxpi2:0@(0)  853  171,Gxpi2:0Gxpi2:0Gxpi2:0Gxpi2:0,,,,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,5,-1,0,2,5,-1,0,12
Gxpi2:0Gypi2:0Gypi2:0Gypi2:0@(0)  549  475,Gxpi2:0Gypi2:0Gypi2:0Gypi2:0,,,,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,2,-1,0,6,2,-1,0,16
Gypi2:0Gxpi2:0@(0)  548  476,Gypi2:0Gxpi2:0,,,,Gypi2:0,Gxpi2:0,3,-1,0,2,3,-1,0,12
Gypi2:0Gypi2:0@(0)  265  759,Gypi2:0Gypi2:0,,,,Gypi2:0,Gypi2:0,3,-1,0,3,3,-1,0,13
Gypi2:0Gxpi2:0Gxpi2:0@(0)  555  469,Gypi2:0Gxpi2:0Gxpi2:0,,,,Gypi2:0,Gxpi2:0Gxpi2:0,3,-1,0,4,3,-1,0,14
Gypi2:0Gxpi2:0Gxpi2:0Gxpi2:0@(0)  536  488,Gypi2:0Gxpi2:0Gxpi2:0Gxpi2:0,,,,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,3,-1,0,5,3,-1,0,15
Gypi2:0Gypi2:0Gypi2:0Gypi2:0@(0)  851  173,Gypi2:0Gypi2:0Gypi2:0Gypi2:0,,,,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,6,-1,0,3,6,-1,0,13
Gxpi2:0Gxpi2:0Gypi2:0@(0)  546  478,Gxpi2:0Gxpi2:0Gypi2:0,,,,Gxpi2:0Gxpi2:0,Gypi2:0,4,-1,0,3,4,-1,0,13
Gxpi2:0Gxpi2:0Gxpi2:0Gxpi2:0Gxpi2:0@(0)  529  495,Gxpi2:0Gxpi2:0Gxpi2:0Gxpi2:0Gxpi2:0,,,,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,5,-1,0,4,5,-1,0,14
Gxpi2:0Gxpi2:0Gypi2:0Gypi2:0Gypi2:0@(0)  556  468,Gxpi2:0Gxpi2:0Gypi2:0Gypi2:0Gypi2:0,,,,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,4,-1,0,6,4,-1,0,16
